iter	Passed	Remaining
622	6605	3997
623	6621	3989
624	6632	3979
625	6643	3968
626	6660	3962
627	6671	3952
628	6680	3940
629	6696	3932
630	6708	3923
631	6725	3916
632	6737	3906
633	6746	3894
634	6762	3887
635	6774	3876
636	6786	3867
637	6797	3856
638	6806	3845
639	6820	3836
640	6834	3827
641	6843	3816
642	6851	3803
643	6860	3792
644	6870	3781
645	6880	3770
646	6889	3758
647	6898	3747
648	6907	3735
649	6920	3726
650	6931	3716
651	6940	3704
652	6950	3693
653	6956	3680
654	6966	3669
655	6977	3658
656	6987	3647
657	6996	3636
658	7006	3625
659	7019	3615
660	7029	3605
661	7039	3594
662	7049	3583
663	7059	3572
664	7070	3561
665	7080	3550
666	7088	3538
667	7095	3526
668	7105	3515
669	7115	3504
670	7125	3493
671	7135	3482
672	7143	3470
673	7151	3459
674	7161	3448
675	7170	3436
676	7181	3426
677	7192	3416
678	7201	3404
679	7213	3394
680	7221	3382
681	7231	3371
682	7240	3360
683	7253	3351
684	7263	3339
685	7272	3328
686	7280	3316
687	7288	3305
688	7300	3295
689	7310	3284
690	7319	3272
691	7329	3262
692	7338	3250
693	7348	3240
694	7357	3228
695	7368	3218
696	7377	3207
697	7387	3196
698	7398	3185
699	7405	3173
700	7413	3162
701	7421	3150
702	7432	3140
703	7444	3129
704	7450	3117
705	7459	3106
706	7469	3095
707	7477	3083
708	7486	3072
709	7494	3061
710	7505	3050
711	7515	3040
712	7527	3029
713	7536	3018
714	7545	3007
715	7556	2997
716	7566	2986
717	7575	2975
718	7585	2964
719	7595	2953
720	7611	2945
721	7626	2936
722	7635	2925
723	7649	2916
724	7661	2905
725	7672	2895
726	7682	2884
727	7692	2874
728	7699	2862
729	7714	2853
730	7723	2842
731	7734	2831
732	7743	2820
733	7753	2809
734	7763	2799
735	7774	2788
736	7785	2778
737	7796	2767
738	7808	2757
739	7817	2746
740	7827	2735
741	7835	2724
742	7845	2713
743	7856	2703
744	7867	2692
745	7878	2682
746	7888	2671
747	7897	2660
748	7907	2649
749	7918	2639
750	7927	2628
751	7935	2616
752	7944	2606
753	7953	2594
754	7962	2583
755	7971	2572
756	7978	2561
757	7989	2550
758	8002	2541
759	8013	2530
760	8024	2520
761	8032	2508
762	8043	2498
763	8054	2487
764	8064	2477
765	8075	2467
766	8083	2455
767	8090	2444
768	8101	2433
769	8111	2423
770	8121	2412
771	8131	2401
772	8142	2391
773	8152	2380
774	8160	2369
775	8170	2358
776	8181	2348
777	8187	2336
778	8196	2325
779	8208	2315
780	8214	2303
781	8224	2292
782	8234	2282
783	8245	2271
784	8252	2260
785	8261	2249
786	8269	2238
787	8280	2227
788	8293	2217
789	8308	2208
790	8320	2198
791	8332	2188
792	8341	2177
793	8353	2167
794	8366	2157
795	8379	2147
796	8392	2137
797	8407	2128
798	8421	2118
799	8432	2108
800	8446	2098
801	8458	2088
802	8474	2079
803	8484	2068
804	8498	2058
805	8513	2049
806	8527	2039
807	8546	2030
808	8560	2021
809	8575	2011
810	8589	2001
811	8601	1991
812	8616	1982
813	8632	1972
814	8639	1961
815	8656	1952
816	8670	1942
817	8682	1931
818	8700	1922
819	8719	1914
820	8731	1903
821	8742	1893
822	8752	1882
823	8762	1871
824	8773	1861
825	8783	1850
826	8795	1840
827	8808	1829
828	8821	1819
829	8834	1809
830	8846	1799
831	8857	1788
832	8866	1777
833	8875	1766
834	8888	1756
835	8895	1745
836	8904	1734
837	8916	1723
838	8924	1712
839	8935	1702
840	8945	1691
841	8955	1680
842	8964	1669
843	8975	1659
844	8986	1648
845	8992	1637
846	9004	1626
847	9013	1615
848	9025	1605
849	9036	1594
850	9046	1584
851	9053	1572
852	9065	1562
853	9081	1552
854	9092	1541
855	9104	1531
856	9114	1520
857	9125	1510
858	9135	1499
859	9147	1489
860	9158	1478
861	9171	1468
862	9179	1457
863	9189	1446
864	9198	1435
865	9209	1424
866	9220	1414
867	9230	1403
868	9238	1392
869	9248	1382
870	9259	1371
871	9269	1360
872	9280	1350
873	9291	1339
874	9302	1328
875	9314	1318
876	9325	1307
877	9337	1297
878	9348	1286
879	9359	1276
880	9370	1265
881	9382	1255
882	9391	1244
883	9400	1233
884	9408	1222
885	9419	1211
886	9429	1201
887	9441	1190
888	9449	1179
889	9459	1169
890	9468	1158
891	9476	1147
892	9482	1136
893	9493	1125
894	9503	1114
895	9512	1104
896	9530	1094
897	9540	1083
898	9551	1073
899	9563	1062
900	9576	1052
901	9589	1041
902	9604	1031
903	9621	1021
904	9632	1011
905	9646	1000
906	9658	990
907	9667	979
908	9688	969
909	9701	959
910	9714	949
911	9725	938
912	9735	927
913	9744	916
914	9754	906
915	9765	895
916	9774	884
917	9787	874
918	9800	863
919	9809	852
920	9819	842
921	9830	831
922	9840	820
923	9850	810
924	9861	799
925	9871	788
926	9882	778
927	9893	767
928	9905	757
929	9911	746
930	9922	735
931	9931	724
932	9942	713
933	9950	703
934	9958	692
935	9969	681
936	9980	671
937	9993	660
938	9999	649
939	10010	638
940	10023	628
941	10033	617
942	10054	607
943	10066	597
944	10078	586
945	10101	576
946	10115	566
947	10129	555
948	10140	544
949	10152	534
950	10161	523
951	10169	512
952	10179	502
953	10193	491
954	10203	480
955	10216	470
956	10229	459
957	10239	448
